seed,exp_num,retinal_quadrant,experimenter,animgender,animgender_a,animgender_b,age_week,age_week_a,age_week_b,age_week_diff,field_0_distance_um,field_1_distance_um,field_2_distance_um,field_distance_um_mean,field_distance_um_max,date_a,date_b,train_field_id,test_field_id,num_train,num_test,num_train_fields,num_test_fields,num_train_retinas,num_test_retinas,train_accuracy_cell,test_accuracy_cell,test_accuracy_field,test_accuracy_retina
0,1,any,Cai,any,male,male,,18.0,20.0,2.0,1059.5570583975173,1166.8657934826952,,1113.2114259401062,1166.8657934826952,2022-07-27,2023-03-28,0,1,132,108,2,2,2,2,1.0,0.5925925925925926,0.5,0.5
0,1,any,Cai,any,male,male,,18.0,20.0,2.0,1059.5570583975173,1166.8657934826952,,1113.2114259401062,1166.8657934826952,2022-07-27,2023-03-28,1,0,108,132,2,2,2,2,1.0,0.5757575757575758,1.0,1.0
0,1,any,Cai,any,male,female,,18.0,15.0,3.0,388.6720983039559,262.9992015197004,,325.83564991182817,388.6720983039559,2022-07-27,2023-08-29,0,1,132,108,2,2,2,2,1.0,0.7129629629629629,1.0,1.0
0,1,any,Cai,any,male,female,,18.0,15.0,3.0,388.6720983039559,262.9992015197004,,325.83564991182817,388.6720983039559,2022-07-27,2023-08-29,1,0,108,132,2,2,2,2,1.0,0.696969696969697,1.0,1.0
0,1,any,Cai,any,male,male,,18.0,17.0,1.0,1665.848087311685,1653.2173783262745,,1659.5327328189796,1665.848087311685,2022-07-27,2023-09-05,0,1,110,66,2,2,2,2,1.0,0.5757575757575758,0.5,0.5
0,1,any,Cai,any,male,male,,18.0,17.0,1.0,1665.848087311685,1653.2173783262745,,1659.5327328189796,1665.848087311685,2022-07-27,2023-09-05,1,0,66,110,2,2,2,2,1.0,0.4636363636363636,0.5,0.5
0,1,any,Cai,any,male,male,,18.0,22.0,4.0,296.2333708413014,456.3670671729063,,376.3002190071038,456.3670671729063,2022-07-27,2024-02-20,0,1,132,108,2,2,2,2,1.0,0.7592592592592593,1.0,1.0
0,1,any,Cai,any,male,male,,18.0,22.0,4.0,296.2333708413014,456.3670671729063,,376.3002190071038,456.3670671729063,2022-07-27,2024-02-20,1,0,108,132,2,2,2,2,1.0,0.7121212121212122,1.0,1.0
0,1,any,Cai,any,male,male,,18.0,20.0,2.0,474.64665805207136,263.2690259031624,,368.9578419776169,474.64665805207136,2022-07-27,2024-05-15,0,1,132,108,2,2,2,2,1.0,0.6944444444444444,1.0,1.0
0,1,any,Cai,any,male,male,,18.0,20.0,2.0,474.64665805207136,263.2690259031624,,368.9578419776169,474.64665805207136,2022-07-27,2024-05-15,1,0,108,132,2,2,2,2,1.0,0.5681818181818182,0.5,0.5
0,1,any,Cai,any,male,female,,7.0,11.0,4.0,897.9002871143321,1529.9607968833711,,1213.9305419988516,1529.9607968833711,2022-08-17,2022-09-21,0,1,108,90,2,2,2,2,1.0,0.5777777777777777,0.5,0.5
0,1,any,Cai,any,male,female,,7.0,11.0,4.0,897.9002871143321,1529.9607968833711,,1213.9305419988516,1529.9607968833711,2022-08-17,2022-09-21,1,0,90,108,2,2,2,2,1.0,0.5740740740740741,0.5,0.5
0,1,any,Cai,any,male,female,,7.0,15.0,8.0,727.9807758450769,475.4639839146599,,601.7223798798684,727.9807758450769,2022-08-17,2023-08-29,0,1,122,118,2,2,2,2,1.0,0.847457627118644,1.0,1.0
0,1,any,Cai,any,male,female,,7.0,15.0,8.0,727.9807758450769,475.4639839146599,,601.7223798798684,727.9807758450769,2022-08-17,2023-08-29,1,0,118,122,2,2,2,2,1.0,0.7377049180327869,0.5,0.5
0,1,any,Cai,any,male,male,,7.0,17.0,10.0,776.4255662972465,1299.519418862219,,1037.9724925797327,1299.519418862219,2022-08-17,2023-09-05,0,1,110,66,2,2,2,2,1.0,0.5757575757575758,0.5,0.5
0,1,any,Cai,any,male,male,,7.0,17.0,10.0,776.4255662972465,1299.519418862219,,1037.9724925797327,1299.519418862219,2022-08-17,2023-09-05,1,0,66,110,2,2,2,2,1.0,0.43636363636363634,0.0,0.0
0,1,any,Cai,any,female,male,,11.0,20.0,9.0,1015.6980080712967,1112.6631475878041,,1064.1805778295504,1112.6631475878041,2022-09-21,2023-03-28,0,1,108,90,2,2,2,2,1.0,0.5111111111111111,0.5,0.5
0,1,any,Cai,any,female,male,,11.0,20.0,9.0,1015.6980080712967,1112.6631475878041,,1064.1805778295504,1112.6631475878041,2022-09-21,2023-03-28,1,0,90,108,2,2,2,2,1.0,0.37037037037037035,0.0,0.0
0,1,any,Cai,any,female,female,,11.0,15.0,4.0,1408.1298958547823,1717.895654572768,,1563.012775213775,1717.895654572768,2022-09-21,2023-08-29,0,1,108,90,2,2,2,2,1.0,0.8222222222222222,1.0,1.0
0,1,any,Cai,any,female,female,,11.0,15.0,4.0,1408.1298958547823,1717.895654572768,,1563.012775213775,1717.895654572768,2022-09-21,2023-08-29,1,0,90,108,2,2,2,2,1.0,0.8611111111111112,1.0,1.0
0,1,any,Cai,any,female,male,,11.0,17.0,6.0,596.610185632126,242.01198317438744,,419.3110844032567,596.610185632126,2022-09-21,2023-09-05,0,1,108,66,2,2,2,2,1.0,0.5757575757575758,0.5,0.5
0,1,any,Cai,any,female,male,,11.0,17.0,6.0,596.610185632126,242.01198317438744,,419.3110844032567,596.610185632126,2022-09-21,2023-09-05,1,0,66,108,2,2,2,2,1.0,0.5833333333333334,0.5,0.5
0,1,any,Cai,any,female,male,,11.0,20.0,9.0,1840.3356306934884,1886.3905958204946,,1863.3631132569915,1886.3905958204946,2022-09-21,2024-05-15,0,1,108,90,2,2,2,2,1.0,0.5777777777777777,1.0,1.0
0,1,any,Cai,any,female,male,,11.0,20.0,9.0,1840.3356306934884,1886.3905958204946,,1863.3631132569915,1886.3905958204946,2022-09-21,2024-05-15,1,0,90,108,2,2,2,2,1.0,0.5462962962962963,1.0,1.0
0,1,any,Cai,any,male,male,,23.0,25.0,2.0,1523.7543404368041,939.903149265923,,1231.8287448513636,1523.7543404368041,2023-03-07,2023-03-23,0,1,154,106,2,2,2,2,1.0,0.5754716981132075,0.5,0.5
0,1,any,Cai,any,male,male,,23.0,25.0,2.0,1523.7543404368041,939.903149265923,,1231.8287448513636,1523.7543404368041,2023-03-07,2023-03-23,1,0,106,154,2,2,2,2,1.0,0.5584415584415584,0.5,0.5
0,1,any,Cai,any,male,male,,23.0,20.0,3.0,1641.1252054611798,849.0163308205562,,1245.070768140868,1641.1252054611798,2023-03-07,2023-03-28,0,1,154,106,2,2,2,2,1.0,0.5283018867924528,1.0,1.0
0,1,any,Cai,any,male,male,,23.0,20.0,3.0,1641.1252054611798,849.0163308205562,,1245.070768140868,1641.1252054611798,2023-03-07,2023-03-28,1,0,106,154,2,2,2,2,1.0,0.487012987012987,0.5,0.5
0,1,any,Cai,any,male,female,,23.0,15.0,8.0,1634.2843632611798,411.2750053188255,,1022.7796842900027,1634.2843632611798,2023-03-07,2023-08-29,0,1,154,106,2,2,2,2,1.0,0.7075471698113207,1.0,1.0
0,1,any,Cai,any,male,female,,23.0,15.0,8.0,1634.2843632611798,411.2750053188255,,1022.7796842900027,1634.2843632611798,2023-03-07,2023-08-29,1,0,106,154,2,2,2,2,1.0,0.6623376623376623,1.0,1.0
0,1,any,Cai,any,male,male,,23.0,17.0,6.0,1478.630491366927,1149.7652151635132,,1314.1978532652201,1478.630491366927,2023-03-07,2023-09-05,0,1,110,66,2,2,2,2,1.0,0.7272727272727273,1.0,1.0
0,1,any,Cai,any,male,male,,23.0,17.0,6.0,1478.630491366927,1149.7652151635132,,1314.1978532652201,1478.630491366927,2023-03-07,2023-09-05,1,0,66,110,2,2,2,2,1.0,0.5363636363636364,0.5,0.5
0,1,any,Cai,any,male,male,,23.0,22.0,1.0,1198.9946997380764,384.4141646713867,,791.7044322047316,1198.9946997380764,2023-03-07,2024-02-20,0,1,154,106,2,2,2,2,1.0,0.6415094339622641,0.5,0.5
0,1,any,Cai,any,male,male,,23.0,22.0,1.0,1198.9946997380764,384.4141646713867,,791.7044322047316,1198.9946997380764,2023-03-07,2024-02-20,1,0,106,154,2,2,2,2,1.0,0.6493506493506493,0.5,0.5
